# query 1
0 qid:1 1:26.077276729016642 2:-15.548549967237879 
1 qid:1 1:16.165346778185253 2:-10.999388235909107 
2 qid:1 1:19.836028921220453 2:-12.507073313927386 
3 qid:1 1:20.79238874712978 2:-12.7649335059442 
4 qid:1 1:20.76499769151567 2:-12.719579201928918 
5 qid:1 1:14.316788023711666 2:-9.820833322166003 
6 qid:1 1:21.480188773680133 2:-12.561513902736918 
7 qid:1 1:12.714736046924504 2:-8.768783480637588 
8 qid:1 1:28.184295445171376 2:-14.833839707984932 
9 qid:1 1:14.171004998596336 2:-8.553892076446207 
10 qid:1 1:26.575359429987607 2:-13.194326240555338 
11 qid:1 1:51.28464368123243 2:-20.03306393798151 
12 qid:1 1:54.71612681145024 2:-20.13948228983476 
13 qid:1 1:54.397313357370095 2:-19.427611913346578 
14 qid:1 1:63.25759205465487 2:-21.015811313838974 
15 qid:1 1:67.13638193976294 2:-20.05437072510879 
16 qid:1 1:65.19585172146566 2:-19.03440067833062 
# query 2
0 qid:2 1:11.741840570701104 2:-9.269342184804191 
1 qid:2 1:11.91052159222669 2:-8.637384321957176 
2 qid:2 1:18.579915771742222 2:-11.287536676384068 
3 qid:2 1:14.244474824068545 2:-9.396947935227962 
4 qid:2 1:25.204623479215545 2:-13.406714616604008 
5 qid:2 1:27.626281113563124 2:-14.240351089465523 
6 qid:2 1:21.508950992425447 2:-11.509990890592901 
7 qid:2 1:34.48654517713 2:-16.741041348121364 
8 qid:2 1:35.082440337660394 2:-16.463522791014377 
9 qid:2 1:37.62517370295776 2:-17.105731533820673 
10 qid:2 1:36.51315038378741 2:-16.156261231764375 
11 qid:2 1:40.04972721213565 2:-16.747175263162497 
12 qid:2 1:47.957083435077756 2:-20.04139938091918 
13 qid:2 1:47.28987582193909 2:-19.21969323314185 
14 qid:2 1:52.75844867356191 2:-19.908848556061198 
15 qid:2 1:63.835788123968186 2:-22.596805028270644 
16 qid:2 1:61.16915851732102 2:-20.805836230381438 
# query 3
0 qid:3 1:22.50767238946273 2:-13.97811165031787 
1 qid:3 1:21.093942656164337 2:-13.062608050857778 
2 qid:3 1:20.36697054230019 2:-12.363704935545742 
3 qid:3 1:11.174839755058875 2:-8.039453061193433 
4 qid:3 1:30.43795853509049 2:-16.341696726818785 
5 qid:3 1:29.419676828516227 2:-15.087013758213445 
6 qid:3 1:37.03843331392025 2:-17.600070634556648 
7 qid:3 1:45.66773573075589 2:-19.440832927321495 
8 qid:3 1:46.238127398159996 2:-18.872705060473542 
9 qid:3 1:46.84697580079015 2:-18.664133785175434 
10 qid:3 1:46.202438762419455 2:-17.858395865264765 
11 qid:3 1:54.13719022026735 2:-21.10564569002489 
12 qid:3 1:53.54082730329283 2:-18.136325729188133 
13 qid:3 1:55.174412100218234 2:-18.39806061142937 
14 qid:3 1:65.3723796593964 2:-20.301981260682272 
15 qid:3 1:69.58338416704875 2:-20.72977943115191 
16 qid:3 1:70.96035865805385 2:-19.235766969915456 
# query 4
0 qid:4 1:11.741840570701104 2:-9.269342184804191 
1 qid:4 1:22.00565966256554 2:-13.021100392050611 
2 qid:4 1:9.029517529864403 2:-6.945782715280314 
3 qid:4 1:42.68198291538106 2:-17.280155026470133 
4 qid:4 1:47.81638053999225 2:-19.23792886273619 
5 qid:4 1:51.198406888142856 2:-20.156853105568143 
6 qid:4 1:51.28464368123243 2:-20.03306393798151 
7 qid:4 1:51.3476687994373 2:-19.97963766515079 
8 qid:4 1:50.093439624319814 2:-19.04531378155172 
9 qid:4 1:57.51878567682765 2:-20.832866073100803 
10 qid:4 1:52.863391574267595 2:-18.61387027262955 
11 qid:4 1:53.03916583604361 2:-17.685160793578422 
12 qid:4 1:57.48933668395364 2:-19.568800163931744 
13 qid:4 1:60.1014062740515 2:-19.94198286045913 
14 qid:4 1:59.21901178398818 2:-19.102907027093107 
15 qid:4 1:64.86123699839115 2:-20.702480324066553 
# query 5
0 qid:5 1:19.947596696750843 2:-12.510502458576749 
1 qid:5 1:14.361716973423588 2:-9.967716499680861 
2 qid:5 1:27.360009046414554 2:-15.248138306983355 
3 qid:5 1:24.28778788810621 2:-12.988121865297435 
4 qid:5 1:32.82311277217827 2:-16.329906851829985 
5 qid:5 1:27.858268507020345 2:-13.929134253510169 
6 qid:5 1:33.21106332775312 2:-15.027630465046688 
7 qid:5 1:40.724034688265526 2:-17.06660645982868 
8 qid:5 1:47.424176647282266 2:-18.230264761075983 
9 qid:5 1:48.12253068183886 2:-17.905539085604637 
10 qid:5 1:52.27017793997211 2:-18.40007284248304 
11 qid:5 1:60.60291355811367 2:-20.89755639934968 
12 qid:5 1:62.71020175711644 2:-19.900904598976293 
13 qid:5 1:65.3723796593964 2:-20.301981260682272 
14 qid:5 1:70.69389772389849 2:-22.374726074638225 
# query 6
0 qid:6 1:27.885207932382205 2:-16.723007347960117 
1 qid:6 1:26.077276729016642 2:-15.548549967237879 
2 qid:6 1:17.293209183369697 2:-11.014782919343757 
3 qid:6 1:18.69494385084086 2:-11.540088796815345 
4 qid:6 1:24.622508919442087 2:-14.070005096824046 
5 qid:6 1:29.31259932039016 2:-14.09259582711066 
6 qid:6 1:37.57277900848115 2:-17.07853591294601 
7 qid:6 1:38.13408579285994 2:-17.29687531286063 
8 qid:6 1:35.1957261531099 2:-15.36931273061572 
9 qid:6 1:46.94413095793358 2:-17.451349798488412 
10 qid:6 1:53.11959978955327 2:-19.10776970847251 
11 qid:6 1:54.218091476700465 2:-19.09815921329049 
12 qid:6 1:58.47109646926545 2:-19.465676198554227 
13 qid:6 1:57.80320174624751 2:-18.41936414421823 
14 qid:6 1:75.1112990626022 2:-23.04027578607448 
15 qid:6 1:65.84537961276344 2:-18.654042771169365 
16 qid:6 1:70.96035865805385 2:-19.235766969915456 
# query 7
0 qid:7 1:16.03764160022569 2:-11.496196615463091 
1 qid:7 1:16.916960594327147 2:-11.26471785338441 
2 qid:7 1:18.758238388970508 2:-11.461861869112921 
3 qid:7 1:9.704116974959593 2:-7.351603768908782 
4 qid:7 1:23.366919416434225 2:-12.72568959334492 
5 qid:7 1:34.25694665143039 2:-16.17907060912981 
6 qid:7 1:33.21106332775312 2:-15.027630465046688 
7 qid:7 1:41.94279118343284 2:-17.697380246174248 
8 qid:7 1:39.72173925116587 2:-16.689806408052938 
9 qid:7 1:42.382845604840995 2:-17.002188392911474 
10 qid:7 1:45.21819552621354 2:-18.08727821048549 
11 qid:7 1:45.09179309865462 2:-15.858581866022794 
12 qid:7 1:55.55275327875437 2:-19.730896206388024 
13 qid:7 1:65.78436922451267 2:-21.40170343949418 
14 qid:7 1:65.3723796593964 2:-20.301981260682272 
15 qid:7 1:65.36407032914848 2:-19.603618539893734 
16 qid:7 1:71.69279459362876 2:-18.79841564454022 
# query 8
0 qid:8 1:19.947596696750843 2:-12.510502458576749 
1 qid:8 1:30.43795853509049 2:-16.341696726818785 
2 qid:8 1:16.345043178013324 2:-10.129704350362983 
3 qid:8 1:27.24940470155765 2:-14.729407946787918 
4 qid:8 1:34.79108216550187 2:-17.9676547789812 
5 qid:8 1:24.28778788810621 2:-12.988121865297435 
6 qid:8 1:24.52364753155117 2:-12.941055413093887 
7 qid:8 1:9.127201656362653 2:-6.27019508281583 
8 qid:8 1:38.630218063294464 2:-18.49747877037629 
9 qid:8 1:38.95656799164955 2:-17.301940296777243 
10 qid:8 1:37.10921484686102 2:-14.723536296555007 
11 qid:8 1:39.44430911570996 2:-15.593593407558068 
12 qid:8 1:51.28464368123243 2:-20.03306393798151 
13 qid:8 1:56.71213331096317 2:-21.534592050194195 
14 qid:8 1:55.344026978125946 2:-20.068151151876297 
15 qid:8 1:58.86159000070887 2:-18.305068208515422 
16 qid:8 1:67.5981071928241 2:-21.21493694474829 
# query 9
0 qid:9 1:30.273428597443058 2:-16.647217853995215 
1 qid:9 1:13.649487509680801 2:-9.44490745637335 
2 qid:9 1:24.597374812797312 2:-14.049452516036295 
3 qid:9 1:16.053483579242165 2:-10.357086180156237 
4 qid:9 1:36.81290533917187 2:-18.088060774545692 
5 qid:9 1:36.98538744351829 2:-17.31721957001837 
6 qid:9 1:33.66479362134182 2:-15.776011097193177 
7 qid:9 1:34.06052060567108 2:-15.613488082575683 
8 qid:9 1:41.73136209923923 2:-18.65484452823201 
9 qid:9 1:44.55682740122274 2:-18.81312611851986 
10 qid:9 1:49.7850276054428 2:-19.524733186865237 
11 qid:9 1:47.872198715961304 2:-18.05910230916607 
12 qid:9 1:56.401917630712575 2:-20.215741086277028 
13 qid:9 1:63.31056894938502 2:-20.946899455320953 
14 qid:9 1:66.53012494479928 2:-20.92872960335998 
15 qid:9 1:67.98220599704912 2:-21.4454908508043 
16 qid:9 1:67.3118939921489 2:-20.68098729076104 
# query 10
0 qid:10 1:16.725569551731326 2:-12.361090558002712 
1 qid:10 1:16.916960594327147 2:-11.26471785338441 
2 qid:10 1:22.785022665874575 2:-13.291941278379827 
3 qid:10 1:12.10363017939693 2:-7.852136194393667 
4 qid:10 1:32.34316418227085 2:-15.328513830460126 
5 qid:10 1:42.162444247969276 2:-18.647067924490692 
6 qid:10 1:39.48016203117548 2:-16.623812145787433 
7 qid:10 1:34.00260023973242 2:-13.99268855498529 
8 qid:10 1:45.92355385935096 2:-18.898581835123917 
9 qid:10 1:46.84697580079015 2:-18.664133785175434 
10 qid:10 1:58.655865981533616 2:-21.67618091870532 
11 qid:10 1:57.613335571920274 2:-21.026764807270286 
12 qid:10 1:60.37805740324362 2:-21.48685316841423 
13 qid:10 1:57.48933668395364 2:-19.568800163931744 
14 qid:10 1:62.69901680318523 2:-21.472266028488235 
15 qid:10 1:70.92844655096178 2:-22.66084554343844 
16 qid:10 1:68.98596042122905 2:-20.369149817993048 
# query 11
0 qid:11 1:29.595193651908094 2:-16.308448364120867 
1 qid:11 1:13.533237555220937 2:-9.069380692299069 
2 qid:11 1:19.464880767758277 2:-11.141391547670356 
3 qid:11 1:22.93813961627203 2:-12.576013982122989 
4 qid:11 1:32.853605418437986 2:-16.211279840562792 
5 qid:11 1:29.261442804189233 2:-14.135962707337804 
6 qid:11 1:24.936151424881874 2:-12.097922490764732 
7 qid:11 1:35.1957261531099 2:-15.36931273061572 
8 qid:11 1:41.31011575401105 2:-17.653895621372296 
9 qid:11 1:43.39847758730933 2:-18.17009496891971 
10 qid:11 1:46.61158788437523 2:-19.34090783584041 
11 qid:11 1:42.5295390779349 2:-17.288430519485797 
12 qid:11 1:45.21819552621354 2:-18.08727821048549 
13 qid:11 1:54.44297681469131 2:-20.07016484918161 
14 qid:11 1:48.845979661694116 2:-17.304338684995987 
15 qid:11 1:67.5981071928241 2:-21.21493694474829 
16 qid:11 1:72.49550538146367 2:-22.460832988596405 
# query 12
0 qid:12 1:20.76499769151567 2:-12.719579201928918 
1 qid:12 1:20.36697054230019 2:-12.363704935545742 
2 qid:12 1:16.36446720376366 2:-10.490043079335681 
3 qid:12 1:30.43795853509049 2:-16.341696726818785 
4 qid:12 1:12.300287115949958 2:-8.091846480792121 
5 qid:12 1:29.419676828516227 2:-15.087013758213445 
6 qid:12 1:36.14110723617679 2:-17.047692092536238 
7 qid:12 1:33.329874784939044 2:-15.430497585619948 
8 qid:12 1:34.00260023973242 2:-13.99268855498529 
9 qid:12 1:43.79284848217399 2:-17.935994277314464 
10 qid:12 1:51.5921133768609 2:-20.232201324259265 
11 qid:12 1:53.638328990572155 2:-19.64773955698625 
12 qid:12 1:45.09179309865462 2:-15.858581866022794 
13 qid:12 1:57.613335571920274 2:-21.026764807270286 
14 qid:12 1:62.32692950009812 2:-20.343232994720506 
15 qid:12 1:60.12422310278669 2:-19.214194049175543 
16 qid:12 1:67.13638193976294 2:-20.05437072510879 
# query 13
0 qid:13 1:17.88035074801992 2:-12.159122632316938 
1 qid:13 1:26.077276729016642 2:-15.548549967237879 
2 qid:13 1:13.254205700024787 2:-9.268675314702646 
3 qid:13 1:12.544981890309717 2:-8.804239959550577 
4 qid:13 1:19.183190637962692 2:-11.328187894009812 
5 qid:13 1:20.24772178089709 2:-11.70936044363943 
6 qid:13 1:30.317534950724397 2:-15.234942186293663 
7 qid:13 1:32.02012101302767 2:-15.549830588127818 
8 qid:13 1:34.46257352752935 2:-15.80851996675661 
9 qid:13 1:41.94279118343284 2:-17.697380246174248 
10 qid:13 1:48.28554189934925 2:-19.85759010681006 
11 qid:13 1:47.28987582193909 2:-19.21969323314185 
